dict_size,l1_coeff,final_recon_loss,final_l1_loss,alive_count,alive_frac,dead_count,mean_sparsity,L0,mean_activation,training_time_sec
1024,0.003,0.00030871748458594084,0.08616142719984055,899,0.8779296875,125,0.10479854792356491,94.2138962962963,0.08562290219907408,97.81348609924316
1024,0.01,0.0003815082018263638,0.04179985076189041,923,0.9013671875,101,0.0722770020365715,66.71167407407407,0.04140618489583334,96.02852034568787
1024,0.03,0.00046342224231921136,0.02884557843208313,919,0.8974609375,105,0.04689444601535797,43.0959962962963,0.02884792751736111,96.50645899772644
2048,0.003,0.0005054385983385146,0.10363419353961945,1753,0.85595703125,295,0.10001876205205917,175.3329185185185,0.10282357494212963,184.8497076034546
2048,0.01,0.00045593571849167347,0.042212311178445816,1827,0.89208984375,221,0.051255207508802414,93.64330370370371,0.04200844184027778,183.3703601360321
2048,0.03,0.00042761643999256194,0.020646069198846817,1946,0.9501953125,102,0.031655557453632355,61.601733333333335,0.020426273148148148,182.80879187583923
4096,0.003,0.0009108649683184922,0.11405867338180542,3249,0.793212890625,847,0.117830790579319,382.83226666666667,0.11246824363425927,366.481153011322
4096,0.01,0.0009415277745574713,0.10467365384101868,3661,0.893798828125,435,0.10378435999155045,379.9546074074074,0.10422996238425926,365.6663329601288
4096,0.03,0.000645226682536304,0.042651936411857605,3532,0.8623046875,564,0.046521950513124466,164.31564444444444,0.04237056929976852,363.75590538978577
8192,0.003,0.0020004981197416782,0.11906196177005768,6486,0.791748046875,1706,0.11921899020671844,773.2545185185185,0.12057050057870371,741.8847246170044
8192,0.01,0.006152572110295296,0.2574000358581543,7224,0.8818359375,968,0.22603647410869598,1632.8877037037037,0.25303431712962965,740.0975773334503
8192,0.03,0.003184238448739052,0.10274527966976166,6852,0.83642578125,1340,0.10213472694158554,699.8273185185185,0.10091136429398148,736.9199850559235
