dict_size,l1_coeff,final_recon_loss,final_l1_loss,alive_count,alive_frac,dead_count,mean_sparsity,L0,mean_activation,training_time_sec
1024,0.003,0.00024175738508347422,0.27025020122528076,1024,1.0,0,0.5648073554039001,578.3627160493827,0.2693763985339506,31.607054948806763
1024,0.01,0.00039903103606775403,0.17761726677417755,1024,1.0,0,0.52607661485672,538.7024197530865,0.17674690152391975,29.842732429504395
1024,0.03,0.0008454847848042846,0.11836445331573486,1024,1.0,0,0.4311765432357788,441.5247901234568,0.11788468123070987,30.03293204307556
2048,0.003,0.0001803384511731565,0.1928587406873703,2048,1.0,0,0.369527131319046,756.7915061728395,0.191768928433642,56.64943194389343
2048,0.01,0.00024357784423045814,0.1148446798324585,2048,1.0,0,0.3440285921096802,704.5705185185185,0.11428349247685185,56.972721099853516
2048,0.03,0.0005020101089030504,0.07488842308521271,2048,1.0,0,0.29946327209472656,613.3008395061728,0.07462959948881173,56.916987895965576
4096,0.003,0.00026212516240775585,0.15637445449829102,4096,1.0,0,0.2677622139453888,1096.7539753086419,0.15661824845679012,110.89211010932922
4096,0.01,0.0002005426649702713,0.08995438367128372,4096,1.0,0,0.2555233836174011,1046.6238024691359,0.08993073037229939,110.94666957855225
4096,0.03,0.00032486667623743415,0.05072562396526337,4096,1.0,0,0.2216741144657135,907.977086419753,0.050559181495949075,110.75675821304321
8192,0.003,0.0002211717946920544,0.17322802543640137,8192,1.0,0,0.28813737630844116,2360.421135802469,0.1751444106867284,224.64801454544067
8192,0.01,0.0002656321448739618,0.10933955013751984,8192,1.0,0,0.2719748616218567,2228.017975308642,0.10824749228395061,224.67877411842346
8192,0.03,0.0003780769766308367,0.0527135506272316,8192,1.0,0,0.22776831686496735,1865.87812345679,0.052591760706018516,224.19002223014832
