z_level,step,target,task,metric,train_score,val_score,n_train,n_val,in_dim
H,0,per_cell_correct,binary,acc,0.7238,0.71086,32400,8100,512
H,0,is_given,binary,acc,0.99583,0.99556,32400,8100,512
H,0,violated_in_row,binary,acc,0.74238,0.74086,32400,8100,512
H,0,violated_in_col,binary,acc,0.74846,0.74494,32400,8100,512
H,0,violated_in_box,binary,acc,0.74809,0.74198,32400,8100,512
H,0,cell_digit,multiclass,acc,0.98932,0.98531,32400,8100,512
H,4,per_cell_correct,binary,acc,0.81253,0.80716,32400,8100,512
H,4,is_given,binary,acc,0.95269,0.95531,32400,8100,512
H,4,violated_in_row,binary,acc,0.87809,0.88037,32400,8100,512
H,4,violated_in_col,binary,acc,0.87386,0.87741,32400,8100,512
H,4,violated_in_box,binary,acc,0.86735,0.86889,32400,8100,512
H,4,cell_digit,multiclass,acc,0.99247,0.98889,32400,8100,512
H,8,per_cell_correct,binary,acc,0.83025,0.83185,32400,8100,512
H,8,is_given,binary,acc,0.96528,0.96395,32400,8100,512
H,8,violated_in_row,binary,acc,0.88951,0.88988,32400,8100,512
H,8,violated_in_col,binary,acc,0.88725,0.88259,32400,8100,512
H,8,violated_in_box,binary,acc,0.87988,0.88012,32400,8100,512
H,8,cell_digit,multiclass,acc,0.99333,0.99012,32400,8100,512
H,12,per_cell_correct,binary,acc,0.83605,0.83099,32400,8100,512
H,12,is_given,binary,acc,0.96892,0.96469,32400,8100,512
H,12,violated_in_row,binary,acc,0.89321,0.88802,32400,8100,512
H,12,violated_in_col,binary,acc,0.89102,0.88877,32400,8100,512
H,12,violated_in_box,binary,acc,0.88309,0.8863,32400,8100,512
H,12,cell_digit,multiclass,acc,0.99318,0.9921,32400,8100,512
H,15,per_cell_correct,binary,acc,0.83642,0.83519,32400,8100,512
H,15,is_given,binary,acc,0.97241,0.97284,32400,8100,512
H,15,violated_in_row,binary,acc,0.8963,0.89864,32400,8100,512
H,15,violated_in_col,binary,acc,0.89191,0.90099,32400,8100,512
H,15,violated_in_box,binary,acc,0.89145,0.88753,32400,8100,512
H,15,cell_digit,multiclass,acc,0.99321,0.98975,32400,8100,512
