z_level,step,target,task,metric,train_score,val_score,val_ci_lower,val_ci_upper,val_std,n_seeds,val_scores_per_seed,n_train,n_val,in_dim
H,0,per_cell_correct,binary,acc,0.7236,0.71277,0.70911,0.71642,0.00294,5,0.70889;0.71420;0.71432;0.71593;0.71049,32400,8100,512
H,0,is_given,binary,acc,0.99618,0.99637,0.99532,0.99742,0.00085,5,0.99617;0.99753;0.99691;0.99580;0.99543,32400,8100,512
H,0,violated_in_row,binary,acc,0.74591,0.74116,0.73431,0.74802,0.00552,5,0.73605;0.74296;0.73457;0.74593;0.74630,32400,8100,512
H,0,violated_in_col,binary,acc,0.74727,0.74052,0.73302,0.74801,0.00604,5,0.73469;0.74333;0.73432;0.74852;0.74173,32400,8100,512
H,0,violated_in_box,binary,acc,0.747,0.7397,0.73316,0.74625,0.00527,5,0.74000;0.73852;0.73148;0.74370;0.74481,32400,8100,512
H,0,cell_digit,multiclass,acc,0.9891,0.98454,0.98345,0.98564,0.00088,5,0.98383;0.98568;0.98383;0.98531;0.98407,32400,8100,512
H,4,per_cell_correct,binary,acc,0.81631,0.79958,0.78657,0.8126,0.01048,5,0.78185;0.80704;0.80753;0.80210;0.79938,32400,8100,512
H,4,is_given,binary,acc,0.95002,0.95252,0.93973,0.9653,0.0103,5,0.96679;0.94531;0.94642;0.94395;0.96012,32400,8100,512
H,4,violated_in_row,binary,acc,0.87671,0.86909,0.86067,0.8775,0.00678,5,0.85901;0.87679;0.87333;0.86938;0.86691,32400,8100,512
H,4,violated_in_col,binary,acc,0.87446,0.86249,0.85221,0.87278,0.00828,5,0.85247;0.87235;0.86901;0.86198;0.85667,32400,8100,512
H,4,violated_in_box,binary,acc,0.86819,0.85805,0.84858,0.86752,0.00762,5,0.84593;0.86691;0.86049;0.85901;0.85790,32400,8100,512
H,4,cell_digit,multiclass,acc,0.99203,0.98773,0.98628,0.98918,0.00117,5,0.98741;0.98642;0.98938;0.98704;0.98840,32400,8100,512
H,8,per_cell_correct,binary,acc,0.82956,0.81827,0.80098,0.83556,0.01393,5,0.79568;0.82938;0.82333;0.81457;0.82840,32400,8100,512
H,8,is_given,binary,acc,0.96406,0.96435,0.9589,0.96979,0.00438,5,0.96963;0.96383;0.95852;0.96753;0.96222,32400,8100,512
H,8,violated_in_row,binary,acc,0.88714,0.87988,0.87055,0.8892,0.00751,5,0.87333;0.88877;0.88358;0.87086;0.88284,32400,8100,512
H,8,violated_in_col,binary,acc,0.8834,0.8779,0.86804,0.88776,0.00794,5,0.86889;0.88420;0.88222;0.86963;0.88457,32400,8100,512
H,8,violated_in_box,binary,acc,0.8783,0.87069,0.85704,0.88434,0.011,5,0.85877;0.87728;0.88210;0.85901;0.87630,32400,8100,512
H,8,cell_digit,multiclass,acc,0.99318,0.9897,0.98866,0.99075,0.00084,5,0.98926;0.98914;0.99099;0.98901;0.99012,32400,8100,512
H,12,per_cell_correct,binary,acc,0.83629,0.82267,0.80497,0.84036,0.01425,5,0.79728;0.82827;0.82914;0.82753;0.83111,32400,8100,512
H,12,is_given,binary,acc,0.96857,0.9698,0.96374,0.97586,0.00488,5,0.97753;0.97123;0.96506;0.96679;0.96840,32400,8100,512
H,12,violated_in_row,binary,acc,0.89069,0.8843,0.87086,0.89773,0.01082,5,0.86667;0.89432;0.89173;0.88531;0.88346,32400,8100,512
H,12,violated_in_col,binary,acc,0.89039,0.88119,0.87065,0.89172,0.00849,5,0.86642;0.88568;0.88728;0.88469;0.88185,32400,8100,512
H,12,violated_in_box,binary,acc,0.88348,0.87605,0.86122,0.89088,0.01195,5,0.85568;0.88259;0.88630;0.87877;0.87691,32400,8100,512
H,12,cell_digit,multiclass,acc,0.99333,0.98985,0.9884,0.9913,0.00117,5,0.98914;0.98864;0.99148;0.98938;0.99062,32400,8100,512
H,15,per_cell_correct,binary,acc,0.83783,0.82533,0.80999,0.84068,0.01236,5,0.80346;0.83370;0.82889;0.83012;0.83049,32400,8100,512
H,15,is_given,binary,acc,0.96815,0.97153,0.96547,0.9776,0.00489,5,0.97901;0.97370;0.96691;0.96840;0.96963,32400,8100,512
H,15,violated_in_row,binary,acc,0.89363,0.88311,0.8762,0.89002,0.00557,5,0.87333;0.88704;0.88605;0.88469;0.88444,32400,8100,512
H,15,violated_in_col,binary,acc,0.89039,0.87832,0.8708,0.88585,0.00606,5,0.86815;0.87790;0.88272;0.88296;0.87988,32400,8100,512
H,15,violated_in_box,binary,acc,0.88655,0.87491,0.8658,0.88403,0.00734,5,0.86284;0.87444;0.88136;0.88012;0.87580,32400,8100,512
H,15,cell_digit,multiclass,acc,0.99364,0.98916,0.9881,0.99022,0.00085,5,0.98914;0.98790;0.99025;0.98951;0.98901,32400,8100,512
L,0,per_cell_correct,binary,acc,0.6877,0.67748,0.67018,0.68478,0.00588,5,0.67049;0.67790;0.67346;0.67988;0.68568,32400,8100,512
L,0,is_given,binary,acc,1.0,1.0,1.0,1.0,0.0,5,1.00000;1.00000;1.00000;1.00000;1.00000,32400,8100,512
L,0,violated_in_row,binary,acc,0.71738,0.71447,0.70401,0.72493,0.00842,5,0.70111;0.71815;0.71136;0.72049;0.72123,32400,8100,512
L,0,violated_in_col,binary,acc,0.7164,0.70884,0.70146,0.71622,0.00594,5,0.70123;0.71222;0.70407;0.71123;0.71543,32400,8100,512
L,0,violated_in_box,binary,acc,0.7088,0.70259,0.70053,0.70465,0.00166,5,0.70173;0.70272;0.70025;0.70407;0.70420,32400,8100,512
L,0,cell_digit,multiclass,acc,0.6426,0.63553,0.63057,0.64049,0.00399,5,0.64062;0.63642;0.63074;0.63235;0.63753,32400,8100,512
L,4,per_cell_correct,binary,acc,0.81431,0.80037,0.78519,0.81555,0.01223,5,0.78136;0.81247;0.80074;0.80951;0.79778,32400,8100,512
