z_level,step,target,task,metric,linear_val,linear_ci_lower,linear_ci_upper,mlp_val,mlp_ci_lower,mlp_ci_upper,delta_val,n_seeds,linear_per_seed,mlp_per_seed
H,0,per_cell_correct,binary,acc,0.71277,0.70911,0.71642,0.7304,0.72619,0.7346,0.01763,5,0.70889;0.71420;0.71432;0.71593;0.71049,0.72617;0.73099;0.73432;0.73272;0.72778
H,0,is_given,binary,acc,0.99637,0.99532,0.99742,0.99978,0.9994,1.00016,0.00341,5,0.99617;0.99753;0.99691;0.99580;0.99543,1.00000;0.99926;1.00000;0.99988;0.99975
H,0,violated_in_row,binary,acc,0.74116,0.73431,0.74802,0.75311,0.74566,0.76057,0.01195,5,0.73605;0.74296;0.73457;0.74593;0.74630,0.74728;0.75383;0.74790;0.76210;0.75444
H,0,violated_in_col,binary,acc,0.74052,0.73302,0.74801,0.75037,0.74457,0.75617,0.00985,5,0.73469;0.74333;0.73432;0.74852;0.74173,0.74395;0.75086;0.75222;0.75654;0.74827
H,0,violated_in_box,binary,acc,0.7397,0.73316,0.74625,0.75044,0.74354,0.75734,0.01074,5,0.74000;0.73852;0.73148;0.74370;0.74481,0.75136;0.74827;0.74210;0.75420;0.75630
H,0,cell_digit,multiclass,acc,0.98454,0.98345,0.98564,0.98388,0.98273,0.98503,-0.00067,5,0.98383;0.98568;0.98383;0.98531;0.98407,0.98235;0.98457;0.98370;0.98457;0.98420
H,4,per_cell_correct,binary,acc,0.79958,0.78657,0.8126,0.80879,0.79586,0.82172,0.00921,5,0.78185;0.80704;0.80753;0.80210;0.79938,0.79383;0.82173;0.81457;0.80790;0.80593
H,4,is_given,binary,acc,0.95252,0.93973,0.9653,0.9816,0.97123,0.99198,0.02909,5,0.96679;0.94531;0.94642;0.94395;0.96012,0.99025;0.96765;0.98284;0.98333;0.98395
H,4,violated_in_row,binary,acc,0.86909,0.86067,0.8775,0.87116,0.86288,0.87944,0.00207,5,0.85901;0.87679;0.87333;0.86938;0.86691,0.86235;0.87975;0.87321;0.87346;0.86704
H,4,violated_in_col,binary,acc,0.86249,0.85221,0.87278,0.86741,0.85883,0.87598,0.00491,5,0.85247;0.87235;0.86901;0.86198;0.85667,0.85852;0.87432;0.87235;0.87012;0.86173
H,4,violated_in_box,binary,acc,0.85805,0.84858,0.86752,0.86007,0.85148,0.86867,0.00202,5,0.84593;0.86691;0.86049;0.85901;0.85790,0.84963;0.86815;0.86123;0.86346;0.85790
H,4,cell_digit,multiclass,acc,0.98773,0.98628,0.98918,0.98719,0.98648,0.98789,-0.00054,5,0.98741;0.98642;0.98938;0.98704;0.98840,0.98667;0.98765;0.98790;0.98704;0.98667
H,8,per_cell_correct,binary,acc,0.81827,0.80098,0.83556,0.83025,0.81377,0.84673,0.01198,5,0.79568;0.82938;0.82333;0.81457;0.82840,0.80815;0.84346;0.83457;0.83000;0.83506
H,8,is_given,binary,acc,0.96435,0.9589,0.96979,0.98719,0.98079,0.99358,0.02284,5,0.96963;0.96383;0.95852;0.96753;0.96222,0.98926;0.98099;0.98852;0.99395;0.98321
H,8,violated_in_row,binary,acc,0.87988,0.87055,0.8892,0.88425,0.87428,0.89421,0.00437,5,0.87333;0.88877;0.88358;0.87086;0.88284,0.87815;0.89395;0.88938;0.87432;0.88543
H,8,violated_in_col,binary,acc,0.8779,0.86804,0.88776,0.88249,0.8732,0.89179,0.00459,5,0.86889;0.88420;0.88222;0.86963;0.88457,0.87790;0.88593;0.88827;0.87160;0.88877
H,8,violated_in_box,binary,acc,0.87069,0.85704,0.88434,0.87516,0.86294,0.88738,0.00447,5,0.85877;0.87728;0.88210;0.85901;0.87630,0.86580;0.87864;0.88765;0.86444;0.87926
H,8,cell_digit,multiclass,acc,0.9897,0.98866,0.99075,0.98956,0.98888,0.99023,-0.00015,5,0.98926;0.98914;0.99099;0.98901;0.99012,0.98975;0.98864;0.98988;0.98951;0.99000
H,12,per_cell_correct,binary,acc,0.82267,0.80497,0.84036,0.83541,0.81668,0.85413,0.01274,5,0.79728;0.82827;0.82914;0.82753;0.83111,0.80926;0.84741;0.84000;0.83741;0.84296
H,12,is_given,binary,acc,0.9698,0.96374,0.97586,0.98896,0.98368,0.99424,0.01916,5,0.97753;0.97123;0.96506;0.96679;0.96840,0.99346;0.98519;0.99025;0.99210;0.98383
H,12,violated_in_row,binary,acc,0.8843,0.87086,0.89773,0.89005,0.87928,0.90082,0.00575,5,0.86667;0.89432;0.89173;0.88531;0.88346,0.87753;0.89790;0.89852;0.88951;0.88679
H,12,violated_in_col,binary,acc,0.88119,0.87065,0.89172,0.88679,0.8778,0.89578,0.0056,5,0.86642;0.88568;0.88728;0.88469;0.88185,0.87531;0.89086;0.89395;0.88914;0.88469
H,12,violated_in_box,binary,acc,0.87605,0.86122,0.89088,0.88047,0.86825,0.89269,0.00442,5,0.85568;0.88259;0.88630;0.87877;0.87691,0.86457;0.88457;0.89123;0.88185;0.88012
